Description,Debit,Credit
TIM HORTONS #93 _F,3.63,null
IND ALL LIFE IN INS,141,null
METERGY/EZ-PAY MSP,61.4,null
Subway 39388 _F,13.98,null
ATHENS PASTRIES _F,6.61,null
JP MORGAN CHASE PAY,null,863.66
PTS TO: 18386666613,31,null
ORIENTAL CHOPST _F,14.68,null
IND ALL LIFE IN INS,386.39,null
TD MUTUAL FUNDS,36,null
THE COFFEE HOUS _F,4.68,null
AMZN Mktp CA _V,64.13,null
SPARKLE SOLUTIO _F,31,null
1138 SAJE TEC _F,48.83,null
SANSOTEI RAMEN _F,18.18,null
CREPE DELICIOUS _F,6.39,null
C&amp;C SUPERMARKET,316.98,null
SUNNY FOODMART _F,61.84,null
DOLLARAMA # 313 _F,33.64,null
TD ATM W/D 116636,1111,null
FOOD BASICS 66,11.66,null
WENDY'S #6469 _F,16.33,null
Koodo Mobile BPY,16.96,null
